,full_text,created_at,favorite_count,quote_count,retweet_count,reply_count
1228,Asking anyone to “not be political” right now is asking them to remove themselves from humanity and be indifferent to the lives of others.,2020-09-19T12:50:20.000Z,19756,120,4661,83
1229,"I don't want to tell billionaires how they should or shouldn't use their money.

I want society to be structured in such a way that single individuals never become so wealthy as to have the power to singlehandedly alter the course of society on a whim.",2021-07-12T18:19:16.000Z,19723,117,4051,142
1230,"[Cake voice]

We’re KEEPING our DISTANCE 
We’re all QUARANTINED
We stay alone (ALL ALONE), for our friends in their time of NEED",2020-03-18T22:07:30.000Z,19664,318,5498,178
1231,When people say “he started his multibillion-dollar business in a garage!” first I think that’s obviously a lie and second I think wouldn’t it be nice to have a garage,2020-07-07T20:57:45.000Z,19530,42,2802,96
1232,"“So I said, ‘Slow the testing down.’”

This is the most direct admission yet that the president engaged in intentional sabotage of America’s public health; that he is okay with people dying for his poll numbers.",2020-06-21T01:07:01.000Z,19483,155,7551,152
1233,It’s not really a “bailout” when it’s a public service operated by the government and you are the government,2020-04-13T03:35:11.000Z,19257,45,2791,27
1234,Kind of astonishing to see both the US and UK governments light their own houses on fire based on some vague paranoid fear that someone else might want to come in,2019-01-17T17:23:58.000Z,18783,131,4579,161
1235,"@gary4205 I dunno, man, I already went and got a PhD in astrophysics. Seems like more than that would be overkill at this point.",2016-08-16T00:26:48.000Z,18557,741,5251,404
1236,"Depressing to see Covid denial follow exactly the same trajectory as climate denial:
&gt; It’s not real
&gt; It’s real but not bad
&gt; It’s real &amp; bad but there’s nothing we can do
&gt; We could do something but it would inconvenience us (&amp; mostly help the more vulnerable) so not worth it",2022-02-28T23:46:01.000Z,18942,120,4670,103
1237,"in case it’s not abundantly clear already ELON MUSK ISN’T GOING TO SAVE US HE’S A BILLIONARE TECHNOCRAT CEO WHO LIKES ROCKETS AND CARS, HE’S NOT ANTHROPOCENE JESUS",2020-07-25T16:17:41.000Z,18167,129,2657,224
1238,Post-apocalyptic fiction did not prepare me for the fact that the pre-apocalypse is excruciating,2022-09-10T20:52:14.000Z,18305,98,2882,138
1239,"When I'm asked to give advice to students, the #1 piece of advice I give is this:

Just because a subject is hard for you (math/science/etc), that doesn't mean you're ""not cut out for it."" You don't have to be a natural at your chosen subject. It's okay if you have to work hard.",2020-12-05T21:47:02.000Z,18120,602,2835,254
1240,Wearing a face mask in public has been common in some parts of the world since LONG before covid was a thing and now that it’s become normalized in America I imagine many will continue to do it for various covid- and non-covid-related reasons and I don’t see how that’s a problem.,2021-05-16T20:32:17.000Z,18107,140,2444,158
1241,"Retweet if it's by absolute sheer meaningless luck that you weren't born in Syria with bombs falling all around you, desperate for refuge.",2017-01-29T19:16:37.000Z,17544,257,22026,143
1242,First ever direct image of a black hole! The supermassive black hole in the galaxy M87 -- 6.5 billion times as massive as the Sun! #EHT #BlackHole The image is better than I expected! https://t.co/Tv7I36v4xQ,2019-04-10T13:11:04.000Z,17230,983,6177,266
1243,"In a functional society, school is education, not a lifeline, &amp; healthcare is a public service, not a perk to be held ransom by an employer. As a nation we shouldn’t have to choose between forcing people into unsafe conditions &amp; leaving them without vital support. But here we are",2022-01-06T22:48:59.000Z,17445,82,3926,50
1244,"The ""personal choice"" argument around vaccines gets especially hard to accept when the surge in hospitalizations among unvaccinated people is turning into an in-person DDoS attack on the entire US hospital system",2021-08-16T21:46:14.000Z,16968,119,3744,130
1245,I’m not a journalism expert or anything but I’m pretty sure that if the “other side” is blatant fascism it’s okay to present just the one side,2020-06-04T01:02:31.000Z,16897,72,3541,76
1246,"SCIENCE: Exercising is good for you, you should do more of that
ME: That seems like a lot of effort
SCIENCE: …
ME: Isn’t there anything… easier… I can do?
SCIENCE: Get enough sleep?
ME: okay look-
SCIENCE: literally, just lie there, unconscious
ME: maybe we should start over",2021-04-11T01:43:56.000Z,16022,132,2915,76
1247,The world is awful and Twitter is weird but I was with my 2.5-year-old niece at the museum today and when we saw the “wounded” dinosaur model illustrating predation she insisted on hugging it to make it feel better 😭❤️ https://t.co/M3I3QXk97d,2019-08-06T01:51:39.000Z,15617,111,1981,107
1248,"Public health experts: don't bring students to campus, there will be outbreaks
Profs: please don't require in-classroom teaching, there will be outbreaks
Staff: this isn't safe, there will be outbreaks

&lt;outbreaks occur, campuses close&gt;

Admins: no one could have predicted this",2020-08-17T21:21:30.000Z,15227,187,4564,116
1249,Any organization that justifies bringing workers back into offices by touting their hand sanitizer and desk spacing is completely unserious. Show me your HEPA filters and ventilation system diagrams. Is your AC recirculated? Where is the air flow? What CO2 levels do you reach?,2020-06-27T16:46:37.000Z,14882,246,4249,187
1250,I love watching convection cells on the Sun because I can see the exact same physics in a bowl of soup,2020-01-29T18:42:09.000Z,14731,79,2263,122
1251,Hey let’s pay *everyone* a living wage for their work and make wage gaps smaller and stop pretending that how much someone gets paid is some kind of indication of the moral value of them or their work rather than a result of enduring inequality and oppression in our society,2021-01-15T22:39:11.000Z,14859,82,3606,102
